service,efa_date,delivery_start,delivery_end,efa,cleared_volume,clearing_price,service_type,auction_id
DRH,2023-12-20,2023-12-20T15:00:00+0000,2023-12-20T19:00:00+0000,5,350.0,-5.77,Response,68
DRH,2023-12-20,2023-12-20T11:00:00+0000,2023-12-20T15:00:00+0000,4,350.0,-5.72,Response,68
DCL,2023-12-20,2023-12-20T11:00:00+0000,2023-12-20T15:00:00+0000,4,832.0,1.06,Response,68
DMH,2023-12-20,2023-12-20T11:00:00+0000,2023-12-20T15:00:00+0000,4,170.0,-0.06,Response,68
DCH,2023-12-20,2023-12-20T11:00:00+0000,2023-12-20T15:00:00+0000,4,1011.0,0.93,Response,68
DML,2023-12-20,2023-12-20T11:00:00+0000,2023-12-20T15:00:00+0000,4,150.0,3.51,Response,68
DRL,2023-12-20,2023-12-20T11:00:00+0000,2023-12-20T15:00:00+0000,4,271.0,9.4,Response,68
DML,2023-12-20,2023-12-20T07:00:00+0000,2023-12-20T11:00:00+0000,3,150.0,3.53,Response,68
DRH,2023-12-20,2023-12-20T07:00:00+0000,2023-12-20T11:00:00+0000,3,350.0,-3.76,Response,68
DCH,2023-12-20,2023-12-20T07:00:00+0000,2023-12-20T11:00:00+0000,3,1146.0,1.0,Response,68
DRL,2023-12-20,2023-12-20T07:00:00+0000,2023-12-20T11:00:00+0000,3,271.0,10.0,Response,68
DCL,2023-12-20,2023-12-20T07:00:00+0000,2023-12-20T11:00:00+0000,3,967.0,1.34,Response,68
DMH,2023-12-20,2023-12-20T07:00:00+0000,2023-12-20T11:00:00+0000,3,158.0,-0.11,Response,68
DCL,2023-12-20,2023-12-20T03:00:00+0000,2023-12-20T07:00:00+0000,2,982.0,0.5,Response,68
DCH,2023-12-20,2023-12-20T03:00:00+0000,2023-12-20T07:00:00+0000,2,1180.0,3.86,Response,68
DRH,2023-12-20,2023-12-20T03:00:00+0000,2023-12-20T07:00:00+0000,2,330.0,0.59,Response,68
DMH,2023-12-20,2023-12-20T03:00:00+0000,2023-12-20T07:00:00+0000,2,150.0,3.34,Response,68
DRL,2023-12-20,2023-12-20T03:00:00+0000,2023-12-20T07:00:00+0000,2,189.0,11.22,Response,68
DML,2023-12-20,2023-12-20T03:00:00+0000,2023-12-20T07:00:00+0000,2,150.0,5.32,Response,68
DMH,2023-12-20,2023-12-19T23:00:00+0000,2023-12-20T03:00:00+0000,1,156.0,-0.23,Response,68
DCL,2023-12-20,2023-12-19T23:00:00+0000,2023-12-20T03:00:00+0000,1,951.0,0.53,Response,68
DRL,2023-12-20,2023-12-19T23:00:00+0000,2023-12-20T03:00:00+0000,1,184.0,9.0,Response,68
DCH,2023-12-20,2023-12-19T23:00:00+0000,2023-12-20T03:00:00+0000,1,1176.0,1.06,Response,68
DML,2023-12-20,2023-12-19T23:00:00+0000,2023-12-20T03:00:00+0000,1,150.0,3.34,Response,68
DRH,2023-12-20,2023-12-19T23:00:00+0000,2023-12-20T03:00:00+0000,1,350.0,-3.47,Response,68
DRH,2023-12-19,2023-12-19T19:00:00+0000,2023-12-19T23:00:00+0000,6,350.0,-5.16,Response,67
DML,2023-12-19,2023-12-19T19:00:00+0000,2023-12-19T23:00:00+0000,6,150.0,3.69,Response,67
