Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
153.001,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,857.61,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,, ,,,WS2,
153.002,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,994.11,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,,,,,WS2,
153.003,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1579.11,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,,,,,WS2,
153.004,Rejected,4,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,157.43,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,A,,,,SS14,
153.005,Rejected,4,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,276.08,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,B,,,,SS14,
153.006,Accepted,NA,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,179.69,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,C,Mutually exclusive with A and B ,,,SS14,
153.007,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,526.23,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
153.008,Accepted,NA,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,615.6,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
153.009,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,985.23,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
153.010,Rejected,4,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,626.67,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,D,,,,NE34,
153.011,Rejected,4,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1127.61,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,E,,,,NE34,
153.012,Accepted,NA,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,743.82,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,F,Mutually exclusive with D & E,,,NE34,
153.013,Rejected,4,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,442.52,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,G,,,,NE27 ,
153.014,Rejected,1.2,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,804.77,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,H,,,,NE27 ,
153.015,Accepted,NA,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,528.08,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,I,Mutually exclusive with G and H,,,NE27 ,
153.016,Accepted,NA,ATTUNE ENERGY,ERNES-1,DNO connection,Bio Fuel,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.01,,,,,,,,,,,,,,,,,, ,,20,PL5,
153.017,Accepted,NA,FLEXIBLE GENERATION,CRMU-1,DNO connection,Bio Fuel,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.02,,,,,,,,,,,,,,,,,,,,20,NP11,
153.018,Accepted,NA,PRECISE ENERGY ,STOWA-1,DNO connection,Bio Fuel,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.03,,,,,,,,,,,,,,,,,,,,20,IP14,
153.019,Accepted,NA,VALENCE POWER,STOWB-1,DNO connection,Bio Fuel,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.04,,,,,,,,,,,,,,,,,,,,20,IP14,
153.020,Accepted,NA,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.05,,,,,,,,,,,,,,,,,,,,20,IP3,
153.021,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.06,,,,,,,,,,,,,,,,,,,,20,IP3,
153.022,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,,,,300,1500,12,300,1500,12,75.07,,,,,,,,,,,,,,,,,,,,20,IP3,
153.023,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,,,,1500,2300,8,1500,2300,8,75.08,,,,,,,,,,,,,,,,,,,,20,IP3,
153.024,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,69.4,,,No,,,,,2,5,5,2,5,2,5,,,A, ,,,Various,
153.025,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,97.35,,,No,,,,,2,5,5,2,5,2,5,,,B,,,,Various,
153.026,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,147.25,,,No,,,,,2,5,5,2,5,2,5,,,C,,,,Various,
153.027,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,13.88,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,A,,,,TR27,
153.028,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,19.47,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,B,,,,TR27,
153.029,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,29.45,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,C,,,,TR27,
153.030,Rejected,1.2,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,26.6,,,No,,,,,,,,,,,,,,A,,,7,BS2 8,
153.031,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,26.6,,,No,,,,,,,,,,,,,,B,,,7,BS2 8,
153.032,Accepted,NA,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,26.6,,,No,,,,,,,,,,,,,,C,,,7,BS2 8,
153.033,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,3.95,,,,,,,,,,,,,,,,,, ,,1,,
153.034,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,7.9,,,,,,,,,,,,,,,,,,,,2,,
153.035,Accepted,NA,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,7.9,,,,,,,,,,,,,,,,,,,,2,,
153.036,Rejected,1.2,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,110.4,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,, ,,,MK45,
153.037,Rejected,1.2,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,159,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,,,,,MK45,
153.038,Accepted,NA,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,199.8,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,,,,,MK45,
153.039,Rejected,1.2,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,325.8,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
153.040,Rejected,1.2,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,530,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
153.041,Accepted,NA,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,666,,,,,,,,8,20,20,8,20,8,20,,,,,,,SY8 2,
153.042,Rejected,1.2,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,809.6,,,YES,,,,,17.6,44,44,17.6,44,17.6,44,,,,,,,ME10,
153.043,Rejected,1.2,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,1166,,,YES,,,,,17.6,44,44,17.6,44,17.6,44,,,,,,,ME10,
153.044,Accepted,NA,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1465.2,,,YES,,,,,17.6,44,44,17.6,44,17.6,44,,,,,,,ME10,
153.045,Accepted,NA,EDF Energy Customers Limited,EDFE-2,DNO connection,DSF: Storage (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,123.2,,,,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,DA1 5,
153.046,Accepted,NA,EDF Energy Customers Limited,EDFE-2,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,171.04,,,,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,DA1 5,
153.047,Accepted,NA,EDF Energy Customers Limited,EDFE-2,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,258.64,,,,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,DA1 5,
153.048,Rejected,1.2,EDF Energy Customers Limited,EDFE-6,DNO connection,DSF: Storage (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,121.8,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG21,
153.049,Accepted,NA,EDF Energy Customers Limited,EDFE-6,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,164.5,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG21,
153.050,Accepted,NA,EDF Energy Customers Limited,EDFE-6,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,240.31,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG21,
153.051,Rejected,1.2,EDF Energy Customers Limited,AG-AEDF02,DNO connection,DSF: Storage (for export),30/09/2022,31/10/2022,30.09.22 - 31.10.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,980,,,YES,,,,,19.6,49,49,19.6,49,15.6,39,,,,,,,IP13,
153.052,Rejected,1.2,EDF Energy Customers Limited,AG-AEDF02,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,1372,,,YES,,,,,19.6,49,49,19.6,49,15.6,39,,,,,,,IP13,
153.053,Rejected,1.2,EDF Energy Customers Limited,AG-AEDF02,DNO connection,DSF: Storage (for export),01/10/2022,31/10/2022,01.10.22 - 31.10.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,2037.42,,,YES,,,,,19.6,49,49,19.6,49,15.6,39,,,,,,,IP13,
