Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
158.001,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,28/02/2023,31/03/2023,28.02.23 - 31.03.23 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,403.27,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,, ,,,WS2,
158.002,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/03/2023,31/03/2023,01.03.23 - 31.03.23 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,447.19,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,,,,,WS2,
158.003,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/03/2023,31/03/2023,01.03.23 - 31.03.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,901.68,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,,,,,WS2,
158.004,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,28/02/2023,31/03/2023,28.02.23 - 31.03.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,265.72,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,A,,,,EH48,
158.005,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/03/2023,31/03/2023,01.03.23 - 31.03.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,512.12,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,B,,,,EH48,
158.006,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,28/02/2023,31/03/2023,28.02.23 - 31.03.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,336.65,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,C,Mutually exclusive with A and B,,,EH48,
158.007,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,28/02/2023,31/03/2023,28.02.23 - 31.03.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,67.27,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,D,,,,SS14,
158.008,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/03/2023,31/03/2023,01.03.23 - 31.03.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,130.62,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,E,,,,SS14,
158.009,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,28/02/2023,31/03/2023,28.02.23 - 31.03.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,79.99,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,F,Mutually exclusive with D and E,,,SS14,
158.010,Rejected,1.2,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,28/02/2023,31/03/2023,28.02.23 - 31.03.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,184.92,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,G,,,,NE27,
