Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
155.001,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/11/2022,31/12/2022,30.11.22 - 31.12.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,586.17,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,, ,,,WS2,
155.002,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/12/2022,31/12/2022,01.12.22 - 31.12.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,792.09,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,,,,,WS2,
155.003,Accepted,NA,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/12/2022,31/12/2022,01.12.22 - 31.12.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1423.5,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,,,,,WS2,
155.004,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,30/11/2022,31/12/2022,30.11.22 - 31.12.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,357.84,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,,,,,EH48,
155.005,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/12/2022,31/12/2022,01.12.22 - 31.12.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,491.68,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,,,,,EH48,
155.006,Accepted,NA,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/12/2022,31/12/2022,01.12.22 - 31.12.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,816.76,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,,,,,EH48,
155.007,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,30/11/2022,31/12/2022,30.11.22 - 31.12.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,122.08,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,A,,,,SS14,
155.008,Accepted,NA,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/12/2022,31/12/2022,01.12.22 - 31.12.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,209.23,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,B,,,,SS14,
155.009,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,30/11/2022,31/12/2022,30.11.22 - 31.12.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,140.63,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,C,Mutually exclusive with A and B,,,SS14,
155.01,Rejected,4,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,30/11/2022,31/12/2022,30.11.22 - 31.12.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,327.29,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,D,,,,NE27,
155.011,Rejected,4,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,01/12/2022,31/12/2022,01.12.22 - 31.12.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,606.28,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,E,,,,NE27,
155.012,Accepted,NA,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,30/11/2022,31/12/2022,30.11.22 - 31.12.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,402.04,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,F,Mutually exclusive with D and E,,,NE27,
155.013,Rejected,4,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,30/11/2022,31/12/2022,30.11.22 - 31.12.22 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,471.57,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,G,,,,NE34,
155.014,Rejected,4,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,01/12/2022,31/12/2022,01.12.22 - 31.12.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,862.62,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,H,,,,NE34,
