Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
150.001,Accepted,NA,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,262.17,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,, ,,,EH48,
150.002,Rejected,1.2,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,01/07/2022,31/07/2022,01.07.22 - 31.07.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,493.02,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
150.003,Accepted,NA,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,01/07/2022,31/07/2022,01.07.22 - 31.07.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,656.1,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
150.004,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,379.24,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
150.005,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/07/2022,31/07/2022,01.07.22 - 31.07.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,701.86,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
150.006,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/07/2022,31/07/2022,01.07.22 - 31.07.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,700,1500,8,949.24,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
150.007,Accepted,NA,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,94.43,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
150.008,Accepted,NA,ATTUNE ENERGY,ERNES-1,DNO connection,Bio Fuel,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.01,,,,,,,,,,,,,,,,,, ,,20,PL5 2,
150.009,Accepted,NA,FLEXIBLE GENERATION,CRMU-1,DNO connection,Bio Fuel,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.02,,,,,,,,,,,,,,,,,,,,20,NP11 ,
150.01,Accepted,NA,PRECISE ENERGY ,STOWA-1,DNO connection,Bio Fuel,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.03,,,,,,,,,,,,,,,,,,,,20,IP14 ,
150.011,Accepted,NA,VALENCE POWER,STOWB-1,DNO connection,Bio Fuel,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.04,,,,,,,,,,,,,,,,,,,,20,IP14,
150.012,Accepted,NA,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,30/06/2022,31/07/2022,30.06.22 - 31.07.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.05,,,,,,,,,,,,,,,,,,,,20,IP3 0,
150.013,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/07/2022,31/07/2022,01.07.22 - 31.07.22 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,75.06,,,,,,,,,,,,,,,,,,,,20,IP3 0,
