Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
160.001,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,318.23,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,A, ,,,WS2,
160.002,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,392.79,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,B,,,,WS2,
160.003,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,338.02,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,C,Mutually exclusive with A and B,,,WS2,
160.004,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,217.5,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,D,,,,EH48,
160.005,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,272.28,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,E,,,,EH48,
160.006,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,229.32,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,F,Mutually exclusive with D and E,,,EH48,
160.007,Rejected,4,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,153.51,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,G,,,,NE27,
160.008,Rejected,4,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,204.84,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,H,,,,NE27,
160.009,Accepted,NA,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,128.8,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,I,Mutually exclusive with G and H,,,NE27,
160.010,Rejected,4,PORT OF TYNE ENERGY STORAGE LIMITED,POTES-1,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,217.52,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,J,,,,NE34,
160.011,Rejected,4,PORT OF TYNE ENERGY STORAGE LIMITED,POTES-1,DNO connection,Battery,01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,285.88,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,K,,,,NE34,
160.012,Accepted,NA,PORT OF TYNE ENERGY STORAGE LIMITED,POTES-1,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,186.18,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,L,Mutually exclusive with J and K,,,NE34,
160.013,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,366.68,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,M,,,,LE19,
160.014,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,456.15,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,N,,,,LE19,
160.015,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,389.71,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,O,Mutually exclusive with M and N,,,LE19,
160.016,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,50.4,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
160.017,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,47.6,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
160.018,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,80.15,,,NO,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
160.019,Rejected,1.2,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,39.45,,,,,,,,2,5,5,2,5,2,5,,,, ,,,MK45,
160.020,Rejected,1.2,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,157.32,,,,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SY8 2,
160.021,Rejected,1.2,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,428.64,,,YES,,,,,18.8,47,47,18.8,47,18.8,47,,,,,,,ME10,
160.022,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01 ,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,162.64,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,"160.005,160.006",,,SK10,
160.023,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01 ,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,700,8,2300,700,8,2300,700,8,120.84,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SK10,
160.024,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement,700,1500,8,700,1500,8,700,1500,8,129.2,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SK10,
160.025,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF02,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,189.62,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,"160.008,160.009",,,BL9 5,
160.026,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF02,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement,700,1500,8,700,1500,8,700,1500,8,156.94,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,BL9 5,
160.027,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF02,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement,1500,2300,8,1500,2300,8,1500,2300,8,205.96,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,BL9 5,
160.028,Rejected,1.2,EDF Energy Customers Limited,AG-HEDF01,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,316.98,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,SN5 8,
160.029,Rejected,1.2,EDF Energy Customers Limited,NURSB-1,TO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,197.4,,,YES,,,,,12,30,30,12,30,12,30,,,,,,,SO16,
160.030,Rejected,1.2,EDF Energy Customers Limited,EDFE-11,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,87.8,,,,,,,,4,10,10,4,10,4,10,,,,,,,SO22,
160.031,Rejected,1.2,Zenobe Capenhurst Limited,PINFB-1,TO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,218.5,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,CH66,
160.032,Rejected,1.2,Zenobe Capenhurst Limited,PINFB-2,TO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,241.5,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,CH66,
160.033,Rejected,1.2,Zenobe Capenhurst Limited,PINFB-3,TO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,253,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,CH66,
160.034,Rejected,1.2,Zenobe Capenhurst Limited,PINFB-4,TO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,276,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,CH66,
160.035,Rejected,1.2,Flexitricity Limited ,AG-PFLX01,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,450.31,,,YES,,,,,19.6,49,49,19.6,49,19.6,49,,,, ,,,DD2 5 ,
160.036,Rejected,1.2,Flexitricity Limited ,AG-PFLX01,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,402.29,,,YES,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,DD2 5,
160.037,Rejected,1.2,Flexitricity Limited ,AG-PFLX01,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,454.23,,,YES,,,,,19.6,49,49,19.6,49,19.6,49,,,,,,,DD2 5,
160.038,Rejected,1.2,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,33.68,,,YES,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,EX34 /EX31,
160.039,Rejected,1.2,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,30.4,,,YES,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,EX34 /EX31,
160.040,Rejected,1.2,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,54.96,,,YES,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,EX34/EX31,
160.041,Rejected,1.2,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),30/04/2023,31/05/2023,30.04.23 - 31.05.23 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,62.86,,,YES,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG32,
160.042,Rejected,1.2,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,56.28,,,YES,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG32,
160.043,Rejected,1.2,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),01/05/2023,31/05/2023,01.05.23 - 31.05.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,63.35,,,YES,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG32,
