Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
151.016,Accepted,N/A,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,75.07,,,,,,,,,,,,,,,,,,,,20,IP3 0,
151.017,Accepted,N/A,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,75.08,,,,,,,,,,,,,,,,,,,,20,IP3 0,
151.018,Accepted,N/A,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/07/2022,31/08/2022,31.07.22 - 31.08.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,46.5,,,No,,,,,2,5,5,2,5,2,5,,,A, ,,,Various,
151.019,Accepted,N/A,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,67,,,No,,,,,2,5,5,2,5,2,5,,,B,,,,Various,
151.020,Accepted,N/A,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,117.5,,,No,,,,,2,5,5,2,5,2,5,,,C,,,,Various,
151.021,Accepted,N/A,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),31/07/2022,31/08/2022,31.07.22 - 31.08.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,9.3,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,A,,,,TR27 ,
151.022,Accepted,N/A,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,13.4,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,B,,,,TR27 ,
151.023,Accepted,N/A,Centrica Business Solutions Uk Optimisation UK Ltd,V__LCEND001,DNO connection,DSF: Storage (for export),01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,23.5,,,Yes,,,,,0.4,1,1,0.4,1,0.4,1,,,C,,,,TR27,
151.024,Accepted,N/A,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),31/07/2022,31/08/2022,31.07.22 - 31.08.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,26.6,,,No,,,,,,,,,,,,,,A,,,7,BS2 8,
151.025,Accepted,N/A,Centrica Business Solutions Uk Optimisation UK Ltd,CBSO-2,DNO connection,DSF: Distributed generation (for export),01/08/2022,31/08/2022,01.08.22 - 31.08.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,26.6,,,No,,,,,,,,,,,,,,B,,,7,BS2 8,
