Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
152.001,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,850.5949937,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,, ,,,WS2,
152.002,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,1007.614228,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
152.003,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1650.102058,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
152.004,Accepted,n/a,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,118.8702128,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
152.005,Accepted,n/a,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,164.344,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
152.006,Rejected,1.2,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,295.5421702,,,,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,SS14,
152.007,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,505.4683617,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
152.008,Accepted,n/a,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,603.2887872,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
152.009,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1032.464702,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
152.01,Accepted,n/a,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,447.7856921,,,,,,,,12.8,32,32,12.8,32,12.8,32,,,,,,,NE34,
152.011,Accepted,n/a,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,621.4490113,,,,,,,,12.8,32,32,12.8,32,12.8,32,,,,,,,NE34,
152.012,Accepted,n/a,PORT OF TYNE ENERGY STORAGE LTD,POTES-1,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,1039.756636,,,,,,,,12.8,32,32,12.8,32,12.8,32,,,,,,,NE34,
152.013,Accepted,n/a,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,269.7798723,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,NE27 ,
152.014,Accepted,n/a,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,405.1216596,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,NE27 ,
152.015,Accepted,n/a,TYNEMOUTH BATTERY STORAGE LIMITED ,FFSE01 ,DNO connection,Battery,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,701.2618936,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,,,,,NE27 ,
152.016,Accepted,n/a,ATTUNE ENERGY,ERNES-1,DNO connection,Bio Fuel,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.01,,,,,,,,,,,,,,,,,, ,,20,PL5 2,
152.017,Accepted,n/a,FLEXIBLE GENERATION,CRMU-1,DNO connection,Bio Fuel,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.02,,,,,,,,,,,,,,,,,,,,20,NP11 ,
152.018,Accepted,n/a,PRECISE ENERGY ,STOWA-1,DNO connection,Bio Fuel,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.03,,,,,,,,,,,,,,,,,,,,20,IP14,
152.019,Accepted,n/a,VALENCE POWER,STOWB-1,DNO connection,Bio Fuel,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.04,,,,,,,,,,,,,,,,,,,,20,IP14 ,
152.02,Accepted,n/a,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,700,8,75.05,,,,,,,,,,,,,,,,,,,,20,IP3 0,
152.021,Accepted,n/a,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,31/08/2022,30/09/2022,31.08.22 - 30.09.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,300,4,2300,300,4,75.06,,,,,,,,,,,,,,,,,,,,20,IP3 0,
152.022,Accepted,n/a,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,,,,300,1500,12,300,1500,12,75.07,,,,,,,,,,,,,,,,,,,,20,IP3 0,
152.023,Accepted,n/a,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/09/2022,30/09/2022,01.09.22 - 30.09.22 (1 months),As per FFR framework agreement ,,,,1500,2300,8,1500,2300,8,75.08,,,,,,,,,,,,,,,,,,,,20,IP3 0,
