Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
141.013,Rejected,2,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,139.72,,,YES,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,NG32 3ER,
141.014,Rejected,2,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,80.12,,,YES,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,EX34 8PL/EX31 3TD,
141.015,Rejected,2,Flexitricity Limited,AG-NFLX01,DNO connection,DSF: Storage (for export),30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,159.36,,,YES,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,KY1 3NW,
141.016,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,2300,700,8,,,,,,,280.8,,,,,,,,11.2,28,28,11.2,28,6.4,16,,,A, ,,,N/A,
141.017,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,700,1500,8,,,,,,,276.9,,,,,,,,11.2,28,28,11.2,28,6,15,,,B,,,,N/A,
141.018,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,1500,2300,8,,,,,,,269.1,,,,,,,,10.8,27,27,10.8,27,6,15,,,C,,,,N/A,
141.019,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,,,,2300,700,8,,,,210.6,,,,,,,,7.6,19,19,7.6,19,6.4,16,,,A,,,,N/A,
141.020,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,,,,700,1500,8,,,,191.1,,,,,,,,6.8,17,17,6.8,17,6,15,,,B,,,,N/A,
141.021,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,01/10/2021,31/10/2021,01.10.21 - 31.10.21 (1 months),As per FFR framework agreement ,,,,1500,2300,8,,,,175.5,,,,,,,,6,15,15,6,15,6,15,,,C,,,,N/A,
141.022,Accepted,NA,GridBeyond Limited,GBND-2,DNO connection,DSF: Load response,30/09/2021,31/10/2021,30.09.21 - 31.10.21 (1 months),As per FFR framework agreement ,,,,,,,2300,700,8,163.8,,,,,,,,5.6,14,14,5.6,14,5.6,14,,,A,,,,N/A,
