Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
148.001,Rejected,2.0,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,1500,16,,,,,,,365.31,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,, ,,,EH48,
148.002,Accepted,NA,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,01/05/2022,31/05/2022,01.05.22 - 31.05.22 (1 months),As per FFR framework agreement ,1500,2300,8,,,,,,,1041.12,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
148.003,Rejected,2.0,GRIDRESERVE LIMITED,NSFE02,DNO connection,Battery,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,,,,2300,1500,16,2300,1500,16,493.56,,,YES,,,,,10.8,27,27,10.8,27,10.8,27,,,,,,,EH48,
148.004,Rejected,2.0,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,1500,16,,,,,,,526.68,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
148.005,Accepted,NA,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/05/2022,31/05/2022,01.05.22 - 31.05.22 (1 months),As per FFR framework agreement ,1500,2300,8,,,,,,,1421.96,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
148.006,Rejected,2.0,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,,,,2300,1500,16,2300,1500,16,652.46,,,YES,,,,,15.2,38,38,15.2,38,15.2,38,,,,,,,WS2,
148.007,Rejected,2.0,ATTUNE ENERGY,ERNES-1,DNO connection,Bio Fuel,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,700,8,2300,700,8,79.95,,,,,,,,,,,,,,,,,, ,,20,PL5,
148.008,Rejected,2.0,FLEXIBLE GENERATION,CRMU-1,DNO connection,Bio Fuel,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,700,8,2300,700,8,80.01,,,,,,,,,,,,,,,,,,,,20,NP11,
148.009,Rejected,2.0,PRECISE ENERGY ,STOWA-1,DNO connection,Bio Fuel,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,700,8,2300,700,8,79.99,,,,,,,,,,,,,,,,,,,,20,IP14,
148.01,Rejected,2.0,VALENCE POWER,STOWB-1,DNO connection,Bio Fuel,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,700,8,2300,700,8,79.98,,,,,,,,,,,,,,,,,,,,20,IP14,
148.011,Rejected,2.0,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,300,4,2300,700,8,2300,700,8,79.97,,,,,,,,,,,,,,,,,,,,20,IP3,
148.012,Rejected,2.0,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,30/04/2022,31/05/2022,30.04.22 - 31.05.22 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,80,,,,,,,,,,,,,,,,,,,,20,IP3,
148.013,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/05/2022,31/05/2022,01.05.22 - 31.05.22 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,80,,,,,,,,,,,,,,,,,,,,20,IP3,
148.014,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/05/2022,31/05/2022,01.05.22 - 31.05.22 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,80,,,,,,,,,,,,,,,,,,,,20,IP3,
