Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
166.001,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,358.43,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,A, ,,,WS2,
166.002,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,01/11/2023,30/11/2023,01.11.23 - 30.11.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,375.64,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,B,,,,WS2,
166.003,Rejected,1.2,BLOXWICH ENERGY STORAGE LIMITED,ARNKB-1,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,361.05,,,YES,,,,,15.6,39,39,15.6,39,15.6,39,,,C,Mutually exclusive with A and B,,,WS2,
166.004,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,246.57,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,D,,,,EH48,
166.005,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,01/11/2023,30/11/2023,01.11.23 - 30.11.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,258.92,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,E,,,,EH48,
166.006,Rejected,1.2,GRIDRESERVE LIMITED,NFSE02,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,249.57,,,YES,,,,,11.2,28,28,11.2,28,11.2,28,,,F,Mutually exclusive with D and E,,,EH48,
166.007,Rejected,4,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,54.13,,,NO,,,,,3.6,9,9,3.6,9,3.6,9,,,G,,,,SS14,
166.008,Rejected,4,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,01/11/2023,30/11/2023,01.11.23 - 30.11.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,58.1,,,NO,,,,,3.6,9,9,3.6,9,3.6,9,,,H,,,,SS14,
166.009,Accepted,NA,NEVENDON ENERGY STORAGE LIMITED,AFSE01,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,48.25,,,NO,,,,,3.6,9,9,3.6,9,3.6,9,,,I,Mutually exclusive with G and H,,,SS14,
166.01,Rejected,4,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,137.93,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,J,,,,NE27,
166.011,Rejected,4,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,01/11/2023,30/11/2023,01.11.23 - 30.11.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,148.07,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,K,,,,NE27,
166.012,Accepted,NA,TYNEMOUTH BATTERY STORAGE LIMITED,FFSE01,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,124.52,,,YES,,,,,9.2,23,23,9.2,23,9.2,23,,,L,Mutually exclusive with J and K,,,NE27,
166.013,Rejected,4,PORT OF TYNE ENERGY STORAGE LIMITED,POTES-1,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,197.27,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,M,,,,NE34,
166.014,Rejected,4,PORT OF TYNE ENERGY STORAGE LIMITED,POTES-1,DNO connection,Battery,01/11/2023,30/11/2023,01.11.23 - 30.11.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,211.82,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,N,,,,NE34,
166.015,Accepted,NA,PORT OF TYNE ENERGY STORAGE LIMITED,POTES-1,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,175.72,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,O,Mutually exclusive with M and N,,,NE34,
166.016,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,412.94,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,P,,,,LE19,
166.017,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,01/11/2023,30/11/2023,01.11.23 - 30.11.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,432.34,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,Q,,,,LE19,
166.018,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,416.18,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,R,Mutually exclusive with P and Q,,,LE19,
166.019,Rejected,1.2,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,37.95,,,,,,,,2,5,5,2,5,2,5,,,, ,,,MK45,
166.02,Rejected,1.2,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,181.26,,,,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SY8 2,
166.021,Rejected,1.2,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,356.73,,,YES,,,,,18.8,47,47,18.8,47,18.8,47,,,,,,,ME10 2,
166.022,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01 ,DNO connection,DSF: Storage (for export),31/10/2023,30/11/2023,31.10.23 - 30.11.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,155.23,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SK10,
