Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
161.015,Rejected,1.2,PORT OF TYNE ENERGY STORAGE LIMITED,POTES-1,DNO connection,Battery,31/05/2023,30/06/2023,31.05.23 - 30.06.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,258.06,,,YES,,,,,13.2,33,33,13.2,33,13.2,33,,,O,Mutually exclusive with M and N,,,NE34,
161.016,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,31/05/2023,30/06/2023,31.05.23 - 30.06.23 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,470.58,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,P,,,,LE19,
161.017,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,01/06/2023,30/06/2023,01.06.23 - 30.06.23 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,500.94,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,Q,,,,LE19,
161.018,Rejected,1.2,ENDERBY STORAGE LIMITED,BFSE01,DNO connection,Battery,31/05/2023,30/06/2023,31.05.23 - 30.06.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,423.66,,,YES,,,,,18.4,46,46,18.4,46,18.4,46,,,R,Mutually exclusive with P and Q,,,LE19,
161.019,Rejected,1.2,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),31/05/2023,30/06/2023,31.05.23 - 30.06.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,38.5,,,,,,,,2,5,5,2,5,2,5,,,, ,,,MK45,
161.020,Rejected,1.2,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),31/05/2023,30/06/2023,31.05.23 - 30.06.23 (1 months),As per FFR framework agreement,2300,2300,24,2300,2300,24,2300,2300,24,156.75,,,,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SY8 2,
161.021,Rejected,1.2,EDF Energy Customers Limited,KEMB-1,TO connection,DSF: Storage (for export),31/05/2023,30/06/2023,31.05.23 - 30.06.23 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,361.9,,,YES,,,,,18.8,47,47,18.8,47,18.8,47,,,,,,,ME10,
161.022,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01 ,DNO connection,DSF: Storage (for export),31/05/2023,30/06/2023,31.05.23 - 30.06.23 (1 months),As per FFR framework agreement,2300,700,8,2300,700,8,2300,700,8,192.47,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SK10,
161.023,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01 ,DNO connection,DSF: Storage (for export),01/06/2023,30/06/2023,01.06.23 - 30.06.23 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,176.89,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SK10,
161.024,Rejected,1.2,EDF Energy Customers Limited,AG -GEDF01,DNO connection,DSF: Storage (for export),01/06/2023,30/06/2023,01.06.23 - 30.06.23 (1 months),As per FFR framework agreement,1500,2300,8,1500,2300,8,1500,2300,8,195.13,,,YES,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,SK10,
