Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Post code,Comments 
142.001,Accepted,NA,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,31/10/2021,30/11/2021,31.10.21 - 30.11.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,226.98,,,YES,,,,,3.6,9,9,3.6,9,3.6,9,,,, ,,,CM13,
142.002,Accepted,NA,GRIDRESERVE LIMITED,ARNKB-3,DNO connection,Battery,31/10/2021,30/11/2021,31.10.21 - 30.11.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,426.59,,,,,,,,11.6,29,29,11.6,29,11.6,29,,,,,,,EH48,
142.003,Rejected,4.0,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/10/2021,30/11/2021,31.10.21 - 30.11.21 (1 months),As per FFR framework agreement ,2300,1500,16,2300,1500,16,2300,1500,16,10.95,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,A,Mutually Exclusive to C,,,Various,
142.004,Rejected,4.0,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,01/11/2021,30/11/2021,01.11.21 - 30.11.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,11.35,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,B,Mutually Exclusive to C,,,Various,
142.005,Accepted,NA,REstore Flexpond UK Ltd,REST-1,DNO connection,Multiple Fuel Type,31/10/2021,30/11/2021,31.10.21 - 30.11.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,11.07,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,C,Mutually Exclusive to A + B,,,Various,
142.006,Rejected,2.0,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,31/10/2021,30/11/2021,31.10.21 - 30.11.21 (1 months),As per FFR framework agreement ,2300,1100,12,2300,1500,16,2300,1500,16,5.99,,,,,,,,,,,,,,,,,, ,,1,,
142.007,Rejected,2.0,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/11/2021,30/11/2021,01.11.21 - 30.11.21 (1 months),As per FFR framework agreement ,1900,2300,4,1900,2300,4,1900,2300,4,14.89,,,,,,,,,,,,,,,,,,,,2,,
142.008,Rejected,2.0,City Energy Management Services Ltd.,CMFH-1,DNO connection,DSF: Load response,01/11/2021,30/11/2021,01.11.21 - 30.11.21 (1 months),As per FFR framework agreement ,1100,1500,4,1500,1900,4,1500,1900,4,9.49,,,,,,,,,,,,,,,,,,,,2,,
142.009,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,31/10/2021,30/11/2021,31.10.21 - 30.11.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,60,,,,,,,,,,,,,,,,,, ,,20,PL32,
142.010,Accepted,NA,First Renewable Alpha Limited,TREGN-1,DNO connection,Diesel,01/11/2021,30/11/2021,01.11.21 - 30.11.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,70,,,,,,,,,,,,,,,,,,,,20,PL32,
