Date Time,Value
2021-12-29 10:00:00,186.87
2021-12-29 10:30:00,186.87
2021-12-29 11:00:00,196.95
2021-12-29 11:30:00,196.95
2021-12-29 12:00:00,200.91
2021-12-29 12:30:00,200.91
2021-12-29 13:00:00,173.06
2021-12-29 13:30:00,173.06
2021-12-29 14:00:00,151.04
2021-12-29 14:30:00,151.04
2021-12-29 15:00:00,155.59
2021-12-29 15:30:00,155.59
2021-12-29 16:00:00,179.91
2021-12-29 16:30:00,179.91
2021-12-29 17:00:00,222.36
2021-12-29 17:30:00,222.36
2021-12-29 18:00:00,187.56
2021-12-29 18:30:00,187.56
2021-12-29 19:00:00,236.82
2021-12-29 19:30:00,236.82
2021-12-29 20:00:00,151.55
2021-12-29 20:30:00,151.55
2021-12-29 21:00:00,134.93
2021-12-29 21:30:00,134.93
2021-12-29 22:00:00,116.69
2021-12-29 22:30:00,116.69
2021-12-29 23:00:00,229.68
2021-12-29 23:30:00,229.68
2021-12-30 00:00:00,41.75
2021-12-30 00:30:00,41.75
2021-12-30 01:00:00,33.24
2021-12-30 01:30:00,33.24
2021-12-30 02:00:00,11.2
2021-12-30 02:30:00,11.2
2021-12-30 03:00:00,5.06
2021-12-30 03:30:00,5.06
2021-12-30 04:00:00,4.17
2021-12-30 04:30:00,4.17
2021-12-30 05:00:00,34.92
2021-12-30 05:30:00,34.92
2021-12-30 06:00:00,65.66
2021-12-30 06:30:00,65.66
2021-12-30 07:00:00,102.94
2021-12-30 07:30:00,102.94
2021-12-30 08:00:00,125.96
2021-12-30 08:30:00,125.96
2021-12-30 09:00:00,155.03
2021-12-30 09:30:00,155.03
2021-12-30 10:00:00,133.35
2021-12-30 10:30:00,133.35
2021-12-30 11:00:00,130.64
2021-12-30 11:30:00,130.64
2021-12-30 12:00:00,163.32
2021-12-30 12:30:00,163.32
2021-12-30 13:00:00,168.57
2021-12-30 13:30:00,168.57
2021-12-30 14:00:00,192.0
2021-12-30 14:30:00,192.0
2021-12-30 15:00:00,105.48
2021-12-30 15:30:00,105.48
2021-12-30 16:00:00,159.95
2021-12-30 16:30:00,159.95
2021-12-30 17:00:00,231.44
2021-12-30 17:30:00,231.44
2021-12-30 18:00:00,186.1
2021-12-30 18:30:00,186.1
2021-12-30 19:00:00,200.31
2021-12-30 19:30:00,200.31
