dtm,f_sum,f_mean,f_max,f_min,f_std,f_skew,delta_freq_sum,delta_freq_mean,delta_freq_max,delta_freq_min,delta_freq_std,delta_freq_skew,disp_dcl_percent_sum,disp_dcl_percent_mean,disp_dcl_percent_max,disp_dcl_percent_min,disp_dcl_percent_std,disp_dch_percent_sum,disp_dch_percent_mean,disp_dch_percent_max,disp_dch_percent_min,disp_dch_percent_std,disp_ffr_percent_sum,disp_ffr_percent_mean,disp_ffr_percent_max,disp_ffr_percent_min,disp_ffr_percent_std,disp_dcl_percent_kWh_per_kW_sum,disp_dcl_percent_kWh_per_kW_mean,disp_dcl_percent_kWh_per_kW_max,disp_dcl_percent_kWh_per_kW_min,disp_dcl_percent_kWh_per_kW_std,disp_dcl_percent_kWh_per_kW_skew,disp_dch_percent_kWh_per_kW_sum,disp_dch_percent_kWh_per_kW_mean,disp_dch_percent_kWh_per_kW_max,disp_dch_percent_kWh_per_kW_min,disp_dch_percent_kWh_per_kW_std,disp_dch_percent_kWh_per_kW_skew,disp_ffr_percent_kWh_per_kW_sum,disp_ffr_percent_kWh_per_kW_mean,disp_ffr_percent_kWh_per_kW_max,disp_ffr_percent_kWh_per_kW_min,disp_ffr_percent_kWh_per_kW_std,disp_ffr_percent_kWh_per_kW_skew,disp_ffr_MW,disp_dcl_MW,disp_dch_MW,EFA Block Count,EFA HH Count
2020-08-01 05:30:00,90016.97,50.009426,50.16,49.84,0.07173319399887826,0.4722,16.96875,0.009427084,0.1562,-0.1562,0.07173319399889182,0.08844,883.4497,0.4908054,3.818,0.0,0.8399863305239218,-1323.1406,-0.7350781,0.0,-3.818,1.1003871340194333,-3358.2422,-1.8656901,29.12,-29.12,12.38191173828384,0.4908054,0.00027266965,0.0021213107,0.0,0.0004666590657482515,2.1043293476104736,-0.7350781,-0.0004083767,0.0,-0.0021213107,0.0006113261807639066,-1.3255672454833984,-1.8656902,-0.0010364946,0.016180556,-0.016180556,0.006878840005809997,-0.11249624,-0.59702086,0.15705772,-0.23522499,1,1
2020-08-01 06:00:00,90107.41,50.05967,50.2,49.94,0.05331435862097941,-0.02489,107.40625,0.05967014,0.1875,-0.0625,0.053314358620984194,0.134,119.481445,0.06637858,1.287,0.0,0.23244156116811157,-2507.5605,-1.3930892,0.0,-4.664,1.1640644140474103,-18199.14,-10.110634,9.8,-35.6,9.630806708335028,0.06637858,3.6876987e-05,0.00071506074,0.0,0.00012913419725818446,4.157902240753174,-1.3930892,-0.00077393843,0.0,-0.002591146,0.0006467024611917365,-1.0972553491592407,-10.110634,-0.005617019,0.0054427083,-0.019774305,0.005350448144747381,-0.67894524,-3.2354028,0.021241145,-0.44578853,1,2
2020-08-01 06:30:00,89991.44,49.995243,50.22,49.88,0.08287413871197746,0.2341,-8.5625,-0.0047569443,0.2188,-0.125,0.08287413871200408,0.408,1510.542,0.83919,2.975,0.0,1.0084893754541457,-1336.521,-0.7425117,0.0,-11.0,1.2017071934209798,1411.1484,0.78397137,22.69,-42.03,14.478823563941967,0.83919,0.00046621668,0.0016525608,0.0,0.0005602718747781082,0.7151429057121277,-0.74251163,-0.00041250646,0.0,-0.006111111,0.0006676151098981616,-2.3283326625823975,0.7839715,0.00043553973,0.012604167,-0.023350695,0.008043790945318732,-0.52725315,0.25087088,0.2685408,-0.23760372,1,3
2020-08-01 07:00:00,89903.0,49.94611,50.06,49.84,0.04823100306761158,0.9785,-97.0,-0.053888887,0.0625,-0.1562,0.048231003067613645,0.4846,2258.06,1.2544779,3.818,0.0,0.9774018707001724,-139.4541,-0.0774745,0.0,-1.287,0.2517793299153502,16141.898,8.967721,29.12,-9.8,8.398674794975136,1.2544777,0.0006969321,0.0021213107,0.0,0.0005430010387615272,0.38109955191612244,-0.0774745,-4.3041386e-05,0.0,-0.00071506074,0.00013987740178747612,-3.8036251068115234,8.967722,0.0049820677,0.016180556,-0.0054427083,0.004665930541469935,-0.04331029,2.869671,0.40143287,-0.024791839,1,4
2020-08-01 07:30:00,90001.69,50.00094,50.16,49.88,0.07261013981131578,0.1818,1.6875,0.0009375,0.1562,-0.125,0.07261013981131402,0.1433,1124.4165,0.6246758,2.975,0.0,0.9055919168560325,-1191.1855,-0.66176975,0.0,-3.818,1.0163932795644615,-511.8047,-0.28433594,22.69,-29.12,12.481123157125921,0.6246758,0.0003470421,0.0016525608,0.0,0.000503106619367418,1.1972721815109253,-0.66176975,-0.00036764986,0.0,-0.0021213107,0.0005646629312263086,-1.3035935163497925,-0.28433594,-0.00015796442,0.012604167,-0.016180556,0.00693395747646673,-0.16913524,-0.0909875,0.19989626,-0.21176632,1,5
2020-08-01 08:00:00,90057.375,50.031876,50.16,49.94,0.04892358563918363,0.1931,57.375,0.031875,0.1562,-0.0625,0.04892358563919287,0.1556,206.96289,0.11497939,1.287,0.0,0.27974351251736396,-1448.6748,-0.80481935,0.0,-3.818,0.9385577327004481,-9459.25,-5.255139,9.8,-29.12,8.151817427736592,0.11497938,6.3877436e-05,0.00071506074,0.0,0.00015541305862399335,2.932145833969116,-0.80481935,-0.00044712186,0.0,-0.0021213107,0.0005214209620574571,-1.0382976531982422,-5.255139,-0.0029195216,0.0054427083,-0.016180556,0.00452878752680297,-0.5922581,-1.6816444,0.0367934,-0.2575422,1,6
2020-08-01 08:30:00,90050.09,50.02783,50.16,49.88,0.07252433686128743,-0.514,50.09375,0.027829861,0.1562,-0.125,0.07252433686127734,-0.3743,726.00684,0.40333712,2.975,0.0,0.7786292527340127,-1880.7246,-1.044847,0.0,-3.818,1.112212930183357,-8805.359,-4.891866,22.69,-29.12,12.495560640881743,0.40333712,0.00022407618,0.0016525608,0.0,0.00043257180616936795,1.9790458679199219,-1.044847,-0.00058047054,0.0,-0.0021213107,0.0006178960707813893,-0.5631778240203857,-4.891866,-0.0027177033,0.012604167,-0.016180556,0.00694197828751922,0.3117905,-1.5653971,0.12906788,-0.33435103,1,7
2020-08-01 09:00:00,89997.69,49.998714,50.12,49.88,0.0505050972108891,-0.0761,-2.3125,-0.0012847222,0.125,-0.125,0.05050509721088332,-5.82e-05,726.08594,0.40338108,2.975,0.0,0.6424247843368261,-686.437,-0.38135388,0.0,-2.975,0.6201903648570569,300.78906,0.16710503,22.69,-22.69,8.00533557380844,0.40338108,0.0002241006,0.0016525608,0.0,0.00035690265392001284,1.7454968690872192,-0.38135388,-0.00021186327,0.0,-0.0016525608,0.0003445501977356992,-1.7036386728286743,0.16710505,9.283614e-05,0.012604167,-0.012604167,0.004447408710120197,0.046413057,0.053473614,0.12908195,-0.122033246,2,0
2020-08-01 09:30:00,90065.56,50.036423,50.16,49.94,0.05515809367841467,0.1376,65.5625,0.036423612,0.1562,-0.0625,0.055158093678413844,-0.1439,278.687,0.15482612,1.287,0.0,0.32512786672186494,-1793.3359,-0.9962977,0.0,-3.818,1.0030489544025374,-11551.352,-6.4174175,9.8,-29.12,9.080247611836501,0.15482612,8.601451e-05,0.00071506074,0.0,0.00018062658788786277,2.422961950302124,-0.9962977,-0.00055349874,0.0,-0.0021213107,0.0005572494184265858,-0.485135942697525,-6.4174175,-0.003565232,0.0054427083,-0.016180556,0.005044582092396029,-0.10272484,-2.0535736,0.049544357,-0.31881526,2,1
2020-08-01 10:00:00,90080.66,50.044807,50.12,49.94,0.04220972407452482,0.736,80.65625,0.04480903,0.125,-0.0625,0.042209724074521726,-0.1449,77.140625,0.042855904,1.287,0.0,0.13565048155585357,-1798.1094,-0.99894965,0.0,-2.975,0.8821672680153402,-13107.844,-7.2821355,9.8,-22.69,7.160512562386719,0.042855904,2.3808836e-05,0.00071506074,0.0,7.536137777253248e-05,3.2452232837677,-0.99894965,-0.00055497204,0.0,-0.0016525608,0.0004900929256495332,-0.49777933955192566,-7.2821355,-0.004045631,0.0054427083,-0.012604167,0.003978062622024535,-0.31464946,-2.3302834,0.013713889,-0.31966388,2,2
